2	52.79	17.94	0.00	R	1608
IC3	11.43	26.67	270.00	LM1117MP-3.3	SOT223
IC4	11.43	8.89	270.00	LM1117MP-5.0	SOT223
IC5	11.43	17.78	270.00	LM1117MP-3.3	SOT223
INT0	50.80	20.32	0.00	TPB1,27	B1,27
INT1	49.59	21.86	0.00	TPB1,27	B1,27
U$1	45.72	15.24	0.00	AK4118	QFP50P900X900X160-48N
U$17	21.97	54.36	90.00	1608	CON
U$18	28.70	54.23	270.00	1608	CON
U$2	74.93	15.24	90.00	AK4490	QFP50P900X900X160-48N
U$28	35.56	12.70	90.00	1608	CON
U$29	39.37	16.51	270.00	1608	CON
U$3	25.33	54.29	0.00	Q	Q
U$32	46.99	21.59	180.00	R	1608
U$36	73.66	22.86	270.00	1608	CON
U$37	46.99	8.89	180.00	1608	CON
U$43	76.20	22.86	90.00	1608	CON
U$44	81.28	16.51	270.00	1608	CON
U$45	40.64	8.89	180.00	1608	CON
U$46	68.58	16.51	90.00	1608	CON
U$5	52.75	15.31	270.00	TCM809RENB713	SOT95P237X112-3N
U$50	20.32	24.13	90.00	R	1608
U$51	68.20	13.46	270.00	1608	CON
U$52	19.05	72.39	90.00	R	1608
U$53	21.59	72.39	270.00	R	1608
U$54	20.32	72.39	270.00	R	1608
U$55	25.33	51.92	180.00	R	1608
U$61	81.28	12.70	90.00	1608	CON
U$62	76.20	8.89	180.00	1608	CON
U$7	68.58	11.43	180.00	1608	CON
U1	25.40	45.72	0.00	PCM2704CDBR	DB28
U2	25.40	30.48	0.00	SN74LS06NSR	SOIC127P780X200-14N
